"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId"
"2025-03-24 20:32:23",1742848343059,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.png","GET","",-1,"vpgcr-1742848341327-73273001c86f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 213, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:21",1742848341363,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.png","GET","",500,"vpgcr-1742848341327-73273001c86f","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",1681,"iad1",76,1024,"","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:19",1742848339200,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.png","GET","",-1,"m4lkz-1742848337411-e527e20e4c97","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 213, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:17",1742848337446,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.png","GET","",500,"m4lkz-1742848337411-e527e20e4c97","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",1736,"iad1",76,1024,"","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:16",1742848336322,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.png","GET","",-1,"t8qnr-1742848334560-b3ffe773ee31","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 213, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:15",1742848335798,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.ico","GET","",-1,"ztk4t-1742848333743-5474d86cfc93","vercel-screenshot/1.0","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 213, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:15",1742848335346,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.ico","GET","",-1,"h2vl9-1742848333480-863f507f8d76","vercel-screenshot/1.0","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 213, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:15",1742848335346,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.ico","GET","",-1,"4bml7-1742848333552-eb1661f08301","vercel-screenshot/1.0","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 213, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:15",1742848335087,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.ico","GET","",-1,"bkmhz-1742848333354-f9b6a6678177","vercel-screenshot/1.0","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",-1,"iad1",-1,-1,"Traceback (most recent call last):
File ""/var/task/vc__handler__python.py"", line 213, in <module>
if not issubclass(base, BaseHTTPRequestHandler):
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
TypeError: issubclass() arg 1 must be a class
Python process exited with exit status: 1. The logs above can help with debugging the issue.","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
"2025-03-24 20:32:14",1742848334596,"youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app/favicon.png","GET","",500,"t8qnr-1742848334560-b3ffe773ee31","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15","error","production","main","MISS","lambda","/run.py","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","youtube-transcript-downloader-htsbchfrs-pats-projects-b663c761.vercel.app","dpl_ExtzHqwVFqgXi3xGDK1BN8w4CEne",1698,"iad1",76,1024,"","prj_HkQlmcmZOETwnxgwGHb4JpfZHXc0"
